Model,Scenario,Region,Variable,Unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|BC|Residential Commercial Other,Mt BC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695127618769135,,,,,3.76582255892826,3.799264848423866,3.751015220424237,3.620946871168683,3.434365604318812,3.243826040481579,3.053174286067037,2.964821725649151,2.880286875206794
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|BC|Transportation Sector,Mt BC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.407172988789742,,,,,1.5409149498780748,1.547283982240401,1.685963107949624,1.764509521719569,1.7534944900451452,1.7259708705557366,1.647047770299134,1.5814912533736598,1.5219500337273018
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|BC|Waste,Mt BC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6771407295009716,,,,,0.7324278179714988,0.8197385174256856,0.8605758766251344,0.882865919571615,0.8922327807119436,0.9046221537675302,0.9137215035774582,0.9213331225343924,0.926920084472082
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|C2F6,kt C2F6/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,2.018327253280364,1.3574261321313292,0.9344374200202458,0.6637498328781252,0.4904881868709056,0.3795983345111447,0.3086504192371604,0.1824974692973242,0.1824974692973242
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CF4,kt CF4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87,,,,,12.75139227318413,10.32753922241561,8.776233299830853,7.7833761919937245,7.147984948398008,6.741355869879638,6.481083948226411,6.018363505993675,6.018363505993675
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.07224909909087,,,,,418.4542119835158,471.3307934510086,515.5457050021898,558.9742742407321,602.3185292639116,647.1294055003173,693.3824530277127,735.323192603253,777.7321922874681
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Agricultural Waste Burning,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3674178878478995,,,,,1.5082533299845018,1.7861881214624853,2.051061074292816,2.312859657375836,2.565041165233795,2.801965737053902,3.0246713211744187,3.2267112719515163,3.409231527274798
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Agriculture,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.2717995330916,,,,,154.9203505237529,184.1169926649225,210.6861125989154,237.8429240501081,266.4898278858032,296.85044234837414,328.8579097455472,351.4101341666256,373.07100087000964
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Energy Sector,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.6808026505923,,,,,161.1532152984021,169.85731407477368,174.8700306054393,179.61629754740792,183.676843979678,187.7326931677279,191.37686515325728,200.731537749413,211.24715068676326
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Forest Burning,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.373028552616999,,,,,5.800001917560295,6.644638486888367,7.456855043195943,8.230122370853465,8.962685153294599,9.649936682612847,10.303373199971801,10.932114348830481,11.53937730410395
